到達時間,車站序號,車站名稱,車站編號,緯度,經度
5分鐘,2,麗寶大樓,1149100300,25.070424,121.58271
6分鐘,3,公館山,1149100000,25.071952,121.581177
7分鐘,4,瑞光路,1147400070,25.074746,121.5776
9分鐘,5,內湖運動中心,1144800300,25.07724,121.5755879
10分鐘,6,港墘派出所,1144800100,25.0787,121.57642
11分鐘,7,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
12分鐘,8,湖光國宅,1147500320,25.078356,121.5815972
14分鐘,9,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
15分鐘,10,內湖高中,1147500020,25.078703,121.5875658
16分鐘,11,方濟中學,1146000140,25.076435,121.5900771
17分鐘,12,將軍嶺,1147200240,25.073372,121.58972
20分鐘,13,三總內湖站,1149000100,25.071852,121.592095
24分鐘,14,國防醫學中心,1147200140,25.071037,121.5898699
25分鐘,15,內湖行政大樓,1146600160,25.06916,121.58832
26分鐘,16,三民國中,1146600060,25.06901,121.58556
27分鐘,17,時報廣場,1149401060,25.06856,121.5831298
27分鐘,18,民權大橋,1149400360,25.06702,121.5791
31分鐘,19,新益里,1059200140,25.062286,121.566155
33分鐘,20,民生國中,1059100040,25.059661,121.5679233
35分鐘,21,新東街口,1058900160,25.059272,121.5663967
36分鐘,22,三民路,1058200140,25.0575,121.5634
38分鐘,23,三民健康路口(西松高中),1058200040,25.055245,121.5635808
40分鐘,24,健康新城,1058600260,25.054217,121.5621625
41分鐘,25,長壽公園,1058600160,25.054069,121.559764
41分鐘,26,三軍總醫院松山分院,1056400060,25.053881,121.5578743
43分鐘,27,南京新村,1057900140,25.052778,121.5568095
4分鐘,30,美仁里,1055400160,25.04821,121.553906
5分鐘,31,臺視,1055900061,25.048248,121.551437
8分鐘,32,市民敦化路口,1055700240,25.045271,121.548797
9分鐘,33,忠孝敦化路口,1069000140,25.041865,121.5487541
12分鐘,34,仁愛敦化路口,1068500140,25.039043,121.548697
15分鐘,35,信義敦化路口,1068100141,25.034123,121.5485022
17分鐘,36,信義大安路口,1068400060,25.033383,121.5461666
18分鐘,37,捷運大安站(信義),1068400260,25.033404,121.5438266
18分鐘,38,師大附中,1065800360,25.033382,121.542275
20分鐘,39,信義建國路口,1065800160,25.033595,121.538468
21分鐘,40,捷運大安森林公園站,1065600460,25.03355,121.5359159
21分鐘,41,信義新生路口,1065600360,25.033627,121.5331327
23分鐘,42,信義永康街口,1065100260,25.033765,121.5301447
24分鐘,43,捷運東門站,1005700060,25.034232,121.526986
26分鐘,44,信義杭州路口,1004800860,25.035417,121.5246296
28分鐘,45,中正紀念堂,1004800960,25.03739,121.52056
31分鐘,46,捷運台大醫院站,1004801100,25.041927,121.5163535
4分鐘,48,臺北車站(忠孝),1004100720,25.046563,121.5156894
