到達時間,車站序號,車站名稱,車站編號,緯度,經度
8分鐘,1,福美站,1127700720,25.10037,121.504473
9分鐘,2,三王宮,1127700020,25.100386,121.505559
10分鐘,3,福美承平路口,1123700020,25.100501,121.507447
15分鐘,7,兒童新樂園,1116500620,25.096205,121.515234
16分鐘,8,士林高商,1116500040,25.09423,121.51712
17分鐘,9,士林區行政中心(中正),1116300220,25.092849,121.519562
18分鐘,10,士林國中,1116200220,25.094604,121.5233015
21分鐘,11,捷運士林站(中正),1116300821,25.09522,121.52577
23分鐘,12,福林國小,1114303520,25.09592,121.52906
24分鐘,13,士林官邸(中正),1114500120,25.096324,121.531395
26分鐘,14,泰北中學,1114100220,25.097284,121.5334818
28分鐘,15,雙溪公園,1114100820,25.097779,121.53792
28分鐘,16,梅林新村,1114302620,25.097232,121.5401759
28分鐘,17,東吳大學(錢穆故居),1114100120,25.097131,121.541888
29分鐘,18,中影文化城,1114300320,25.09704,121.54455
進站中,19,外雙溪(故宮),1114300940,25.097172,121.5468286
4分鐘,20,自強隧道,1046400020,25.085862,121.5518959
5分鐘,21,捷運劍南路站,1046400320,25.08484,121.555253
7分鐘,22,美麗華,1144600120,25.084538,121.5581969
8分鐘,23,文湖國小,1144600020,25.084151,121.5615165
8分鐘,24,治磐新村,1149300020,25.082945,121.5638416
9分鐘,25,捷運西湖站,1149300220,25.082197,121.5658848
進站中,26,恕德家商,1149300120,25.081963,121.5690454
進站中,27,麗山街,1144400420,25.081132,121.57184
3分鐘,28,捷運港墘站(內湖高工),1144400220,25.080149,121.5746181
5分鐘,29,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
6分鐘,30,湖光國宅,1147500320,25.078356,121.5815972
9分鐘,31,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
10分鐘,32,內湖高中,1147500020,25.078703,121.5875658
11分鐘,33,成功路三段,1146000200,25.079617,121.5899398
12分鐘,34,湖光市場,1145900100,25.081699,121.5920088
進站中,35,捷運內湖站,1145700300,25.08334,121.594132
進站中,36,秀湖,1145700120,25.084596,121.5983
3分鐘,37,大湖,1145800020,25.084602,121.6001
4分鐘,38,捷運大湖公園站,1145600120,25.08343,121.602592
5分鐘,39,大湖公園,1147700040,25.082887,121.6048
6分鐘,40,黃石公廟,1147700740,25.077575,121.606985
6分鐘,41,康寧醫院,1149000740,25.076101,121.6071
7分鐘,42,康寧社區,1147700640,25.07435,121.6063
9分鐘,43,捷運葫洲站(康寧大學),1148600420,25.072465,121.6075013
9分鐘,44,明湖國小(公共電視台),1148600020,25.071632,121.60932
10分鐘,45,明湖國中,1148600140,25.069969,121.6116528
11分鐘,46,捷運東湖站(南湖高中),1148600340,25.067493,121.6115022
14分鐘,47,南港軟體園區北站,1156000341,25.059687,121.6142045
16分鐘,48,南港軟體園區南站,1150100240,25.056585,121.6139208
18分鐘,49,南港展覽館,1157100540,25.054699,121.616456
19分鐘,50,誠正國中,1157100140,25.051803,121.6158658
20分鐘,51,南港水廠,1157100040,25.049543,121.615625
21分鐘,52,圓拱橋,1156400140,25.047199,121.615363
22分鐘,53,中研新村,1157400140,25.04483,121.61555
23分鐘,54,中研院,1157400040,25.04313,121.61648
24分鐘,55,胡適公園,1152900140,25.039528,121.617338
24分鐘,56,九如里一,1157400240,25.038138,121.6169015
25分鐘,57,凌雲五村,1157200440,25.036259,121.616893
26分鐘,58,九如里二,1158100360,25.035004,121.6161708
26分鐘,59,凌雲站,1158100460,25.034742,121.6147203
進站中,60,中華科技大學(正門),1158100240,25.033828,121.6097652
