到達時間,車站序號,車站名稱,車站編號,緯度,經度
3分鐘,9,天北站,1115700040,25.122884,121.5265466
4分鐘,10,天玉里,1115700240,25.121408,121.5266441
5分鐘,11,天母國小,1115700140,25.11895,121.526158
6分鐘,12,齊福華廈,1115700320,25.118381,121.5275693
7分鐘,13,天母廣場,1115600500,25.11927,121.53084
9分鐘,14,天母新村,1115200200,25.121299,121.5315658
10分鐘,15,天母,1115100100,25.12424,121.53273
10分鐘,16,天母,1115600040,25.124204,121.53245
11分鐘,17,農訓協會,1115600740,25.12262,121.53187
12分鐘,18,天母新村,1115600440,25.121246,121.5313484
13分鐘,19,天母廣場,1115200340,25.119324,121.530609
3分鐘,21,天母國小,1115600200,25.118785,121.5262529
4分鐘,22,天玉里,1115700200,25.12118,121.5267177
5分鐘,23,天北站,1115700000,25.122929,121.5266532
6分鐘,24,福德廟(石牌),1126700660,25.12357,121.525261
7分鐘,25,永欣里,1126700140,25.122216,121.5238999
7分鐘,26,榮光新村(榮總東院),1121700140,25.12028,121.5226771
9分鐘,27,榮總一,1121700361,25.118824,121.5205515
4分鐘,31,石牌國小,1127100060,25.114301,121.51277
4分鐘,32,石牌路,1127100160,25.113305,121.5105335
8分鐘,33,石牌,1128700240,25.109536,121.512347
9分鐘,34,文林國小,1128700140,25.108034,121.5139733
10分鐘,35,中正高中,1128700040,25.105059,121.517803
11分鐘,36,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
12分鐘,37,捷運芝山站一,1115900340,25.100849,121.5223075
14分鐘,38,士林,1115900040,25.095911,121.5242793
17分鐘,39,士林國中,1116200261,25.094772,121.522929
18分鐘,40,士林區行政中心(中正),1116200860,25.09406,121.52085
20分鐘,41,陽明高中,1116500860,25.092141,121.517889
3分鐘,45,酒泉重慶路口,1037200140,25.07328,121.51367
5分鐘,46,民族重慶路口,1036900040,25.068879,121.51371
7分鐘,47,昌吉重慶路口,1036300240,25.06615,121.5136438
8分鐘,48,捷運大橋頭站,1035900040,25.063324,121.5135163
9分鐘,49,涼州重慶路口,1035800340,25.06098,121.5135093
11分鐘,50,民生重慶路口,1035800140,25.05715,121.5136927
12分鐘,51,朝陽公園(鈕釦街),1034500042,25.055504,121.514022
12分鐘,52,圓環(重慶),1035000340,25.053017,121.5140239
15分鐘,53,後車站,1034900140,25.050503,121.5134928
3分鐘,54,臺北車站(重慶),1004400240,25.046565,121.5132058
5分鐘,55,臺北郵局(撫臺街洋樓),1004200660,25.04605,121.51032
7分鐘,56,中華路北站,1084300040,25.045511,121.5091441
9分鐘,57,捷運西門站,1084400340,25.042516,121.5082667
3分鐘,59,龍山國中,1084900640,25.035844,121.5038948
3分鐘,60,萬華車站,1085200440,25.034863,121.5010585
6分鐘,61,莒光路口,1086100440,25.03176,121.50051
3分鐘,64,德昌街口,1086300140,25.025812,121.5003368
4分鐘,65,萬大國小,1086900240,25.024038,121.500101
