公車代碼,站點名稱
0100000A00,瑞湖街口
0100000A00,麗寶大樓
0100000A00,公館山
0100000A00,瑞光路
0100000A00,內湖運動中心
0100000A00,港墘派出所
0100000A00,西湖圖書館(湖光教會)
0100000A00,湖光國宅
0100000A00,捷運文德站(碧湖公園)
0100000A00,內湖高中
0100000A00,方濟中學
0100000A00,將軍嶺
0100000A00,三總內湖站
0100000A00,國防醫學中心
0100000A00,內湖行政大樓
0100000A00,三民國中
0100000A00,時報廣場
0100000A00,民權大橋
0100000A00,新益里
0100000A00,民生國中
0100000A00,新東街口
0100000A00,三民路
0100000A00,三民健康路口(西松高中)
0100000A00,健康新城
0100000A00,長壽公園
0100000A00,三軍總醫院松山分院
0100000A00,南京新村
0100000A00,博仁醫院
0100000A00,光復路口
0100000A00,美仁里
0100000A00,臺視
0100000A00,市民敦化路口
0100000A00,忠孝敦化路口
0100000A00,仁愛敦化路口
0100000A00,信義敦化路口
0100000A00,信義大安路口
0100000A00,捷運大安站(信義)
0100000A00,師大附中
0100000A00,信義建國路口
0100000A00,捷運大安森林公園站
0100000A00,信義新生路口
0100000A00,信義永康街口
0100000A00,捷運東門站
0100000A00,信義杭州路口
0100000A00,中正紀念堂
0100000A00,捷運台大醫院站
0100000A00,博物館(館前)
0100000A00,臺北車站(忠孝)
0100000A00,臺北車站(公園)
0100000A00,捷運台大醫院站
0100000A00,中正紀念堂
0100000A00,信義杭州路口
0100000A00,捷運東門站
0100000A00,信義永康街口(捷運東門站)
0100000A00,信義新生路口
0100000A00,捷運大安森林公園站
0100000A00,信義建國路口
0100000A00,捷運大安站(信義)
0100000A00,信義大安路口
0100000A00,信義敦化路口
0100000A00,仁愛國中
0100000A00,安和敦化路口
0100000A00,捷運忠孝敦化站
0100000A00,市民大道口
0100000A00,臺視
0100000A00,美仁里
0100000A00,榮民服務處
0100000A00,南京新村
0100000A00,三軍總醫院松山分院
0100000A00,長壽公園
0100000A00,健康新城
0100000A00,三民健康路口(西松高中)
0100000A00,三民路
0100000A00,新東街口
0100000A00,民生國中
0100000A00,新益里
0100000A00,民權大橋
0100000A00,時報廣場
